,route_acc,type_acc,climate_acc,day_acc,month_acc,years_acc,scene_acc,road_surface,time_acc,level_acc
97,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถจักรยานยนต์,แจ่มใส,16,1,2019,ทางตรง,ไม่มีความลาดชัน,1,DIE
133,สะพานภูมิพลที่ 1 ไปสะพานภูมิพลที่ 2,รถจักรยานยนต์,มืดครึ้ม,22,1,2019,ทางโค้งกว้าง,ไม่มีความลาดชัน,4,DIE
223,สะพานภูมิพลที่ 1 ไปสะพานภูมิพลที่ 2,รถจักรยานยนต์,มืดครึ้ม,13,2,2019,ทางตรง,ไม่มีความลาดชัน,0,DIE
238,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,16,2,2019,ทางตรง,ไม่มีความลาดชัน,0,DIE
387,คลองพระยาสุเรนทร์ - บางพลี,รถจักรยานยนต์,แจ่มใส,25,3,2019,ทางตรง,ไม่มีความลาดชัน,1,DIE
447,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,6,4,2019,ทางตรง,ไม่มีความลาดชัน,0,DIE
482,ถนนกัลปพฤกษ์,อื่นๆ,แจ่มใส,12,4,2019,ทางตรง,ไม่มีความลาดชัน,1,DIE
483,รัชดาภิเษก - รามอินทรา,รถจักรยานยนต์,แจ่มใส,12,4,2019,,,1,DIE
501,มหาวิทยาลัยเกษตรศาสตร์ - คันนายาว,รถจักรยานยนต์,แจ่มใส,14,4,2019,ทางโค้งกว้าง,ไม่มีความลาดชัน,4,DIE
526,คลองพระยาสุเรนทร์ - บางพลี,รถบรรทุก 6 ล้อ,แจ่มใส,22,4,2019,ทางตรง,ไม่มีความลาดชัน,1,DIE
580,สะพานภูมิพลที่ 1 ไปสะพานภูมิพลที่ 2,รถจักรยานยนต์,มืดครึ้ม,6,5,2019,ทางตรง,ไม่มีความลาดชัน,4,DIE
704,บางแค - คลองมหาสวัสดิ์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,10,6,2019,ทางตรง,ไม่มีความลาดชัน,4,DIE
720,สะพานภูมิพลที่ 1 ไปสะพานภูมิพลที่ 2,รถจักรยานยนต์,มืดครึ้ม,14,6,2019,ทางตรง,ไม่มีความลาดชัน,0,DIE
865,คลองพระยาสุเรนทร์ - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,20,7,2019,ทางตรง,ไม่มีความลาดชัน,1,DIE
1098,บางปะอิน - คลองพระยาสุเรนทร์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ฝนตก,22,9,2019,ทางตรง,ไม่มีความลาดชัน,1,DIE
1111,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถจักรยานยนต์,แจ่มใส,26,9,2019,ทางตรง,ไม่มีความลาดชัน,0,DIE
1149,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,6,10,2019,,,2,DIE
1203,บางบอน - โรงพยาบาลบางปะกอก 8,รถจักรยานยนต์,แจ่มใส,21,10,2019,ทางตรง,ไม่มีความลาดชัน,0,DIE
1260,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,1,11,2019,,,0,DIE
1408,แยกทางหลวงหมายเลข 305 (กม.ที่ 31+800) - คลองแสนแสบ,รถตู้,แจ่มใส,29,12,2019,ทางตรง,ไม่มีความลาดชัน,3,DIE
1424,พระประแดง - บางแค,อื่นๆ,แจ่มใส,2,1,2020,ทางตรง,ไม่มีความลาดชัน,0,DIE
1744,พระประแดง - บางแค,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,20,3,2020,,,1,DIE
1780,คลองมหาสวัสดิ์ - คลองบางไผ่,รถตู้,แจ่มใส,1,4,2020,ทางตรง,ไม่มีความลาดชัน,4,DIE
1842,ถนนศรีนครินทร - แขวงคลองสองต้นนุ่น,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),แจ่มใส,25,4,2020,,,1,DIE
1875,บางแค - คลองมหาสวัสดิ์,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,2,5,2020,,,4,DIE
1877,บางแค - คลองมหาสวัสดิ์,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,2,5,2020,,,4,DIE
1898,แขวงรามอินทรา - บางพลี,รถบรรทุกมากกว่า 6 ล้อ ไม่เกิน 10 ล้อ,แจ่มใส,8,5,2020,ทางตรง,ไม่มีความลาดชัน,2,DIE
1922,บางแค - คลองมหาสวัสดิ์,รถบรรทุก 6 ล้อ,แจ่มใส,11,5,2020,,,2,DIE
1923,บางแค - คลองมหาสวัสดิ์,รถบรรทุก 6 ล้อ,แจ่มใส,11,5,2020,,,2,DIE
2172,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถบรรทุก 6 ล้อ,แจ่มใส,9,7,2020,ทางตรง,ไม่มีความลาดชัน,0,DIE
2220,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถบรรทุก 6 ล้อ,แจ่มใส,21,7,2020,ทางตรง,ไม่มีความลาดชัน,2,DIE
2297,บางนา - ทางเข้าท่าอากาศยานสุวรรณภูมิ,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),แจ่มใส,6,8,2020,ทางตรง,ไม่มีความลาดชัน,3,DIE
2322,บางแค - คลองมหาสวัสดิ์,รถบรรทุกมากกว่า 6 ล้อ ไม่เกิน 10 ล้อ,แจ่มใส,13,8,2020,ทางตรง,ไม่มีความลาดชัน,1,DIE
2440,บางแค - คลองมหาสวัสดิ์,อื่นๆ,แจ่มใส,5,9,2020,ทางตรง,ไม่มีความลาดชัน,3,DIE
2484,ถนนราชพฤกษ์,รถจักรยานยนต์,แจ่มใส,11,9,2020,ทางตรง,ไม่มีความลาดชัน,1,DIE
2524,แขวงคลองสองต้นนุ่น - พิมพา,รถจักรยานยนต์,ฝนตก,20,9,2020,ทางตรง,ไม่มีความลาดชัน,1,DIE
2582,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถจักรยานยนต์,แจ่มใส,6,10,2020,ทางตรง,ไม่มีความลาดชัน,0,DIE
2584,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,6,10,2020,,,2,DIE
2611,แยกเข้ามีนบุรี - คลองหลวงแพ่ง,รถจักรยานยนต์,ฝนตก,11,10,2020,ทางตรง,ไม่มีความลาดชัน,0,DIE
2672,บางปะอิน - แขวงรามอินทรา,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,23,10,2020,ทางตรง,ไม่มีความลาดชัน,0,DIE
2677,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถจักรยานยนต์,แจ่มใส,23,10,2020,ทางตรง,ไม่มีความลาดชัน,4,DIE
2714,บางแค - คลองมหาสวัสดิ์,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,2,11,2020,ทางตรง,ไม่มีความลาดชัน,1,DIE
2785,ดาวคะนอง -  แสมดำ,รถจักรยานยนต์,แจ่มใส,18,11,2020,ทางตรง,ไม่มีความลาดชัน,3,DIE
2834,แขวงรามอินทรา - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,28,11,2020,ทางตรง,ไม่มีความลาดชัน,4,DIE
2911,บางปะอิน - แขวงรามอินทรา,รถโดยสารขนาดใหญ่,แจ่มใส,15,12,2020,ทางตรง,ไม่มีความลาดชัน,0,DIE
2992,ถนนราชพฤกษ์,รถจักรยานยนต์,แจ่มใส,30,12,2020,ทางตรง,ที่ลาดชัน,0,DIE
3010,แจ้งวัฒนะ-พญาไท,,แจ่มใส,1,1,2021,อื่นๆ,,4,DIE
3023,สะพานภูมิพลที่ 2 ไปสะพานภูมิพลที่ 1,รถจักรยานยนต์,แจ่มใส,6,1,2021,ทางตรง,ที่ลาดชัน,2,DIE
3028,บางปะอิน - แขวงรามอินทรา,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),แจ่มใส,8,1,2021,ทางตรง,ไม่มีความลาดชัน,2,DIE
3031,บางปะอิน - แขวงรามอินทรา,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),แจ่มใส,9,1,2021,ทางตรง,ไม่มีความลาดชัน,0,DIE
3086,บางแค - คลองมหาสวัสดิ์,คนเดินเท้า,แจ่มใส,31,1,2021,,,4,DIE
3090,ดาวคะนอง -  แสมดำ,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,1,2,2021,ทางโค้งกว้าง,ไม่มีความลาดชัน,4,DIE
3262,ดาวคะนอง -  แสมดำ,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,9,3,2021,ทางตรง,ไม่มีความลาดชัน,4,DIE
3272,รามอินทรา-อาจณรงค์,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,11,3,2021,ทางตรง,,0,DIE
3316,บางนา - ทางเข้าท่าอากาศยานสุวรรณภูมิ,รถบรรทุก 6 ล้อ,แจ่มใส,19,3,2021,ทางตรง,ไม่มีความลาดชัน,1,DIE
3339,ถนนกัลปพฤกษ์,รถจักรยานยนต์,แจ่มใส,26,3,2021,ทางตรง,ไม่มีความลาดชัน,1,DIE
3376,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,3,4,2021,ทางตรง,ไม่มีความลาดชัน,0,DIE
