,route_acc,type_acc,cnd_acc,day_acc,month_acc,years_acc,scene_acc,road_surface,time_acc,level_acc
0,บางพลี-สุขสวัสดิ์,อื่นๆ,Fair,1,1,2019,อื่นๆ,ไม่มีความลาดชัน,0,INJ
4,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถปิคอัพบรรทุก 4 ล้อ,Fair,1,1,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
6,พระประแดง - บางแค,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,Fair,1,1,2019,ทางตรง,ไม่มีความลาดชัน,5,INJ
8,บางนา-ท่าเรือ,อื่นๆ,Fair,2,1,2019,ทางตรง,ไม่มีความลาดชัน,0,INJ
11,บางปะอิน - คลองพระยาสุเรนทร์,รถปิคอัพบรรทุก 4 ล้อ,Fair,2,1,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
20,ดาวคะนอง-ท่าเรือ,รถบรรทุก 6 ล้อ,Fair,2,1,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
27,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,Mostly Cloudy,4,1,2019,ทางโค้งกว้าง,ไม่มีความลาดชัน,0,INJ
42,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,Mostly Cloudy,5,1,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
46,คลองพระยาสุเรนทร์ - บางพลี,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),Fog,6,1,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
48,แจ้งวัฒนะ-พญาไท,อื่นๆ,Fair,7,1,2019,ทางโค้งกว้าง,ไม่มีความลาดชัน,0,INJ
50,ดาวคะนอง-ท่าเรือ,อื่นๆ,Fair,7,1,2019,ทางโค้งกว้าง,ไม่มีความลาดชัน,2,INJ
51,คลองมหาสวัสดิ์ - คลองบางไผ่,รถบรรทุกมากกว่า 6 ล้อ ไม่เกิน 10 ล้อ,Fair,7,1,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
53,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถปิคอัพบรรทุก 4 ล้อ,Fair,7,1,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
56,คลองพระยาสุเรนทร์ - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,Fair,7,1,2019,ทางตรง,ไม่มีความลาดชัน,4,INJ
57,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถจักรยานยนต์,Fair,7,1,2019,ทางตรง,ไม่มีความลาดชัน,5,INJ
61,คลองพระยาสุเรนทร์ - บางพลี,รถปิคอัพบรรทุก 4 ล้อ,Partly Cloudy,8,1,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
64,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถจักรยานยนต์,Fair,8,1,2019,ทางตรง,ไม่มีความลาดชัน,5,INJ
70,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,Fair,11,1,2019,ทางตรง,ไม่มีความลาดชัน,0,INJ
72,บางปะอิน - คลองพระยาสุเรนทร์,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,Haze,11,1,2019,ทางตรง,ไม่มีความลาดชัน,2,INJ
73,ถนนศรีนครินทร์ - บางปะกง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,Partly Cloudy,11,1,2019,ทางตรง,ไม่มีความลาดชัน,5,INJ
