,route_acc,type_acc,climate_acc,day_acc,month_acc,years_acc,scene_acc,road_surface,time_acc
1,บางนา-ชลบุรี,อื่นๆ,แจ่มใส,1,1,2019,ทางตรง,ไม่มีความลาดชัน,1
2,ดาวคะนอง -  แสมดำ,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,1,1,2019,ทางตรง,ไม่มีความลาดชัน,2
3,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,1,1,2019,ทางตรง,ไม่มีความลาดชัน,3
5,คลองพระยาสุเรนทร์ - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,1,1,2019,ทางตรง,ไม่มีความลาดชัน,4
7,คลองพระยาสุเรนทร์ - บางพลี,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,1,1,2019,ทางตรง,ไม่มีความลาดชัน,4
9,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถตู้,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,1
10,พญาไท-ศรีนครินทร์,รถตู้,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,1
12,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,1
13,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,1
14,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,1
15,สุขสวัสดิ์-บางขุนเทียน,อื่นๆ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,1
16,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,2
17,พญาไท-ศรีนครินทร์,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,2
18,พญาไท-ศรีนครินทร์,อื่นๆ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,2
19,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,2
21,คลองพระยาสุเรนทร์ - บางพลี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,2
22,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,3
23,พระประแดง - บางแค,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,3
24,คลองพระยาสุเรนทร์ - บางพลี,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,3
25,แขวงรามอินทรา - บางพลี,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,2,1,2019,ทางตรง,ไม่มีความลาดชัน,4
26,ถนนศรีนครินทร์ - บางปะกง,รถโดยสารขนาดใหญ่,แจ่มใส,3,1,2019,ทางตรง,ไม่มีความลาดชัน,4
28,บางนา-ชลบุรี,รถตู้,แจ่มใส,4,1,2019,ทางตรง,ไม่มีความลาดชัน,1
29,สุขสวัสดิ์-บางขุนเทียน,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,4,1,2019,อื่นๆ,ไม่มีความลาดชัน,1
30,บางปะอิน - คลองพระยาสุเรนทร์,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),แจ่มใส,4,1,2019,ทางตรง,ไม่มีความลาดชัน,1
31,แจ้งวัฒนะ-พญาไท,อื่นๆ,แจ่มใส,4,1,2019,ทางตรง,ไม่มีความลาดชัน,1
32,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,4,1,2019,ทางตรง,ไม่มีความลาดชัน,2
33,บางพลี-สุขสวัสดิ์,รถบรรทุกมากกว่า 6 ล้อ ไม่เกิน 10 ล้อ,แจ่มใส,4,1,2019,ทางตรง,ไม่มีความลาดชัน,2
34,สุขสวัสดิ์-บางขุนเทียน,รถบรรทุก 6 ล้อ,แจ่มใส,4,1,2019,ทางตรง,ไม่มีความลาดชัน,2
35,คลองพระยาสุเรนทร์ - บางพลี,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,4,1,2019,ทางตรง,ไม่มีความลาดชัน,2
36,พญาไท-ศรีนครินทร์,รถตู้,แจ่มใส,4,1,2019,อื่นๆ,ไม่มีความลาดชัน,3
37,อรุณอมรินทร์ - พุทธมณฑลสาย 4,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,แจ่มใส,4,1,2019,ทางตรง,ไม่มีความลาดชัน,3
38,แยกเข้ามีนบุรี - คลองหลวงแพ่ง,รถปิคอัพบรรทุก 4 ล้อ,แจ่มใส,5,1,2019,ทางตรง,ไม่มีความลาดชัน,0
